epoch,train_loss,val_loss,val_ppl
1,1.5717023027928574,1.2987632933768178,3.6647616289621583
2,1.3093870510603385,1.2705051941683643,3.5626519387833966
3,1.272099775348628,1.264554604834553,3.541515011115213
4,1.2407939584617493,1.2685052867146518,3.5555340845133436
5,1.207187191866769,1.2810348171202228,3.6003635163214844
6,1.1708403692477123,1.2976034567774837,3.6605135683013827
7,1.1325519707889302,1.3127059674462396,3.7162160786561573
8,1.094295384129255,1.3502231253802848,3.8582863162634133
9,1.0575081018736259,1.3700649894978696,3.9356064602470346
10,1.0221634258278525,1.4038920317072168,4.071013687483743
11,0.990010577194481,1.4262021747256408,4.162859320089842
12,0.9601351727112339,1.4551109441577177,4.2849588303804484
13,0.9331583485969647,1.4840358223681525,4.41071065338373
14,0.9083049543697133,1.5175477418705838,4.561026655205082
15,0.8860233045549093,1.5375225017005254,4.653048060331482
16,0.8671909425582304,1.5630552446827952,4.7733828417366
17,0.8483979403422706,1.5966385541708523,4.936411025826814
18,0.831776585008348,1.6115902794731989,5.010773425219006
19,0.8165618897382204,1.6345844302980703,5.127326792558949
20,0.8030697691869296,1.668184968590594,5.302534790526603
21,0.7901636964923311,1.6864690997124858,5.400378802453798
22,0.7783724777668439,1.7095233627829785,5.526326796755648
23,0.7678242297927621,1.7199461901629414,5.584227969794194
24,0.7584328736789346,1.7346733234546803,5.667076200508516
25,0.7489848361965223,1.7581544976365466,5.801720419596687
