epoch,train_loss,val_loss,val_ppl
1,2.4540496458371863,1.7668678585418873,5.852493785578604
2,1.5429707384997247,1.5753996250993114,4.832672489495802
3,1.416669826839653,1.5450498074461512,4.688205128731398
4,1.357721094056833,1.5334892919508076,4.634319135757513
5,1.3133378180321527,1.527530131366967,4.606784606653905
6,1.2713383431476553,1.5344782252769686,4.638904435298996
7,1.2294694933680044,1.5523173445362155,4.722400942552754
8,1.185926366974374,1.582988286422471,4.869485508405896
9,1.141648874737398,1.6191550648145083,5.048822585991696
10,1.0956594216332438,1.6409851763881533,5.160250766069736
